공간정보일련번호(gid),격자번호(grid_no)
2324,GR2_F4E22
2325,GR2_F4F11
2326,GR2_F4F12
2327,GR2_F4F21
2328,GR2_F4F22
2329,GR2_F4G11
2330,GR2_F4G12
2331,GR2_F4G21
2332,GR2_F4G22
2333,GR2_F4H11
2334,GR2_F4H12
2335,GR2_F4H21
2336,GR2_F4H22
2337,GR2_G3E11
2338,GR2_G3E12
2339,GR2_G3E21
2340,GR2_G3E22
2341,GR2_G3F11
2342,GR2_G3F12
2379,GR2_F3G23
2380,GR2_F3G24
2381,GR2_F3H13
2382,GR2_F3H14
2383,GR2_F3H23
2384,GR2_F3H24
2385,GR2_F4E13
2386,GR2_F4E14
2387,GR2_F4E23
2388,GR2_F4E24
2389,GR2_F4F13
2390,GR2_F4F14
2391,GR2_F4F23
2392,GR2_F4F24
2393,GR2_F4G13
2394,GR2_F4G14
2395,GR2_F4G23
2396,GR2_F4G24
2397,GR2_F4H13
2398,GR2_F4H14
2399,GR2_F4H23
2400,GR2_F4H24
2401,GR2_G3E13
2402,GR2_G3E14
2403,GR2_G3E23
2404,GR2_G3E24
2405,GR2_G3F13
2443,GR2_F3G41
2444,GR2_F3G42
2445,GR2_F3H31
2446,GR2_F3H32
2447,GR2_F3H41
2448,GR2_F3H42
2449,GR2_F4E31
2450,GR2_F4E32
2451,GR2_F4E41
2452,GR2_F4E42
2453,GR2_F4F31
2454,GR2_F4F32
2455,GR2_F4F41
2456,GR2_F4F42
2457,GR2_F4G31
2458,GR2_F4G32
2459,GR2_F4G41
2460,GR2_F4G42
2461,GR2_F4H31
2462,GR2_F4H32
2463,GR2_F4H41
2464,GR2_F4H42
2465,GR2_G3E31
2466,GR2_G3E32
2467,GR2_G3E41
2468,GR2_G3E42
2469,GR2_G3F31
2507,GR2_F3G43
2508,GR2_F3G44
2509,GR2_F3H33
2510,GR2_F3H34
2511,GR2_F3H43
2512,GR2_F3H44
2513,GR2_F4E33
2514,GR2_F4E34
2515,GR2_F4E43
2516,GR2_F4E44
2517,GR2_F4F33
2518,GR2_F4F34
2519,GR2_F4F43
2520,GR2_F4F44
2521,GR2_F4G33
2522,GR2_F4G34
2523,GR2_F4G43
2524,GR2_F4G44
2525,GR2_F4H33
2526,GR2_F4H34
2527,GR2_F4H43
2528,GR2_F4H44
2529,GR2_G3E33
2530,GR2_G3E34
2531,GR2_G3E43
2532,GR2_G3E44
2572,GR2_F3K22
2573,GR2_F3L11
2574,GR2_F3L12
2575,GR2_F3L21
2576,GR2_F3L22
2577,GR2_F4I11
2578,GR2_F4I12
2579,GR2_F4I21
2580,GR2_F4I22
2581,GR2_F4J11
2582,GR2_F4J12
