time,lat,lon,u_current_ms,v_current_ms
2026-04-01 00:00:00,34.25,126.16669,0.055417847,-0.094594635
2026-04-01 00:00:00,34.25,126.25,0.034333255,-0.038288757
2026-04-01 00:00:00,34.25,126.33334,0.013663588,-0.02768341
2026-04-01 00:00:00,34.25,126.41669,-0.00093341805,0.024995904
2026-04-01 00:00:00,34.25,126.5,0.037077736,0.0027735415
2026-04-01 00:00:00,34.25,126.58334,0.026691083,0.017872531
2026-04-01 00:00:00,34.25,126.66669,-0.08818751,0.034808125
2026-04-01 00:00:00,34.25,126.75,-0.02628085,-0.045209244
2026-04-01 00:00:00,34.25,126.83334,0.03852323,-0.027654242
2026-04-01 00:00:00,34.25,126.91669,0.08207028,0.017665049
2026-04-01 00:00:00,34.25,127.0,0.08340248,0.048623648
2026-04-01 00:00:00,34.25,127.08334,0.10302503,0.05244493
2026-04-01 00:00:00,34.25,127.16669,0.07719471,0.02019115
2026-04-01 00:00:00,34.25,127.25,0.039973475,0.00776859
2026-04-01 00:00:00,34.25,127.33334,0.010218176,-0.0047637774
2026-04-01 00:00:00,34.25,127.41669,0.0022991889,-0.013973661
2026-04-01 00:00:00,34.25,127.5,-0.0240638,0.005714395
2026-04-01 00:00:00,34.25,127.58334,-0.055531304,-0.0129635
2026-04-01 00:00:00,34.25,127.66669,-0.077806085,-0.012495261
2026-04-01 00:00:00,34.25,127.75,-0.12717849,0.020483855
2026-04-01 00:00:00,34.25,127.83334,-0.1521705,0.055715837
2026-04-01 00:00:00,34.25,127.91669,-0.15004925,0.07281666
2026-04-01 00:00:00,34.25,128.0,-0.16113071,0.06962326
2026-04-01 00:00:00,34.25,128.08334,-0.17884481,0.056485314
2026-04-01 00:00:00,34.25,128.16669,-0.17452061,0.032770704
2026-04-01 00:00:00,34.25,128.25,-0.14662512,-0.00071859395
2026-04-01 00:00:00,34.25,128.33334,-0.115898274,-0.028260063
2026-04-01 00:00:00,34.25,128.41669,-0.102606714,-0.035257578
2026-04-01 00:00:00,34.25,128.5,-0.11208253,-0.024092454
2026-04-01 00:00:00,34.25,128.58334,-0.13592288,0.0028369161
2026-04-01 00:00:00,34.25,128.66669,-0.17090358,0.05487862
2026-04-01 00:00:00,34.25,128.75,-0.18808216,0.112412296
2026-04-01 00:00:00,34.25,128.83334,-0.19240406,0.19337697
2026-04-01 00:00:00,34.25,128.91669,-0.18657565,0.2514667
