도서명,island_lon,island_lat,grid_no,gid,rank_nn,dist_m_est,weight_inv_dist2
동암,1009555.6959978322,1562519.0159081672,GR2_G1P34,2030,1,3397.8711887639233,8.661361005591139e-08
동암,1009555.6959978322,1562519.0159081672,GR2_G2F31,1461,2,3557.384594801763,7.902023658703039e-08
동암,1009555.6959978322,1562519.0159081672,GR2_G1P41,1967,3,4194.4017637673805,5.6840765830355994e-08
볼락군여,1009600.2858057539,1560591.6278570488,GR2_G2F31,1461,1,1663.8474228408732,3.612208800718189e-07
볼락군여,1009600.2858057539,1560591.6278570488,GR2_G2F32,1462,2,2928.652282482661,1.1659081202011683e-07
볼락군여,1009600.2858057539,1560591.6278570488,GR2_G2F24,1400,3,3660.538072908601,7.462942767085835e-08
말다랭이섬,1009766.1379979742,1560575.8240668108,GR2_G2F31,1461,1,1698.2949371913435,3.4671578919356354e-07
말다랭이섬,1009766.1379979742,1560575.8240668108,GR2_G2F32,1462,2,2782.415308727111,1.2916832730989744e-07
말다랭이섬,1009766.1379979742,1560575.8240668108,GR2_G2F24,1400,3,3803.4681895626604,6.912583545687506e-08
각시움통섬,1009794.1630998316,1560378.770986259,GR2_G2F31,1461,1,1525.8497499619175,4.2951295912001e-07
각시움통섬,1009794.1630998316,1560378.770986259,GR2_G2F32,1462,2,2650.7365149066004,1.4232028894291e-07
각시움통섬,1009794.1630998316,1560378.770986259,GR2_G2F24,1400,3,3751.0221745752547,7.107235498747071e-08
서방바위,1009645.277759184,1560182.5820267992,GR2_G2F31,1461,1,1287.6711328477134,6.031006806260568e-07
서방바위,1009645.277759184,1560182.5820267992,GR2_G2F32,1462,2,2685.393442205604,1.3867050327238338e-07
서방바위,1009645.277759184,1560182.5820267992,GR2_G2F24,1400,3,3541.9392981419005,7.971090454418728e-08
얕은도여,1009951.8420482858,1560120.120593583,GR2_G2F31,1461,1,1374.9031344447428,5.289998710313853e-07
얕은도여,1009951.8420482858,1560120.120593583,GR2_G2F32,1462,2,2384.5318540584376,1.75870770739545e-07
얕은도여,1009951.8420482858,1560120.120593583,GR2_G2F24,1400,3,3812.5203144865127,6.879797212418172e-08
통퇴여,1010027.5564225204,1559658.947047134,GR2_G2F31,1461,1,1084.0344234526274,8.509684986975279e-07
통퇴여,1010027.5564225204,1559658.947047134,GR2_G2F32,1462,2,2130.6209109278384,2.2028632319802375e-07
통퇴여,1010027.5564225204,1559658.947047134,GR2_G2F24,1400,3,3775.1958636106106,7.016507480319609e-08
흔덕여,1009894.8859250138,1559919.4843332446,GR2_G2F31,1461,1,1178.6204044087806,7.198661901669461e-07
흔덕여,1009894.8859250138,1559919.4843332446,GR2_G2F32,1462,2,2347.9117303966045,1.8139962712157596e-07
흔덕여,1009894.8859250138,1559919.4843332446,GR2_G2F24,1400,3,3702.234157192938,7.295787929378683e-08
동퇴섬,1010084.3660219719,1559829.596783394,GR2_G2F31,1461,1,1238.900962870061,6.515181759472645e-07
동퇴섬,1010084.3660219719,1559829.596783394,GR2_G2F32,1462,2,2138.320336543875,2.1870281465081478e-07
동퇴섬,1010084.3660219719,1559829.596783394,GR2_G2F24,1400,3,3865.0263152752873,6.694144156884521e-08
아리딴섬,1010267.8439045054,1559738.7390124411,GR2_G2F31,1461,1,1324.394576632899,5.701182784881229e-07
아리딴섬,1010267.8439045054,1559738.7390124411,GR2_G2F32,1462,2,1933.90288377634,2.673810114826288e-07
아리딴섬,1010267.8439045054,1559738.7390124411,GR2_G2F24,1400,3,4026.0787830970194,6.16929354563721e-08
중앙진섬,1010143.3578130997,1559628.394267707,GR2_G2F31,1461,1,1159.3319190573693,7.440191101921074e-07
중앙진섬,1010143.3578130997,1559628.394267707,GR2_G2F32,1462,2,2011.1172686358218,2.4724362495571797e-07
중앙진섬,1010143.3578130997,1559628.394267707,GR2_G2F24,1400,3,3883.9347633066445,6.629123621340638e-08
딴섬,1010378.3643736491,1559650.236738752,GR2_G2F31,1461,1,1371.1922206894956,5.3186705215322e-07
딴섬,1010378.3643736491,1559650.236738752,GR2_G2F32,1462,2,1798.0299444889833,3.0931859242309136e-07
딴섬,1010378.3643736491,1559650.236738752,GR2_G2F24,1400,3,4119.323607008678,5.893158921890781e-08
