연번,시도,시군구,섬이름,위도,경도
228,전라남도,신안군,상수치도,34.76046786,126.0198763
229,전라남도,신안군,도초도,34.69454744,125.961015
230,전라남도,신안군,우이도,34.61109186,125.8414986
231,전라남도,신안군,동소우이도,34.6046352,125.8845266
232,전라남도,신안군,서소우이도,34.60761061,125.8701226
233,전라남도,신안군,대흑산도,34.66630153,125.4141545
234,전라남도,신안군,장도,34.67792178,125.3769561
235,전라남도,신안군,영산도,34.64720482,125.4686047
236,전라남도,신안군,대둔도,34.72795275,125.4598111
237,전라남도,신안군,홍도,34.69176551,125.1988842
238,전라남도,신안군,상태도,34.44173133,125.2885425
239,전라남도,신안군,중태도,34.42627924,125.2831536
240,전라남도,신안군,하태도,34.38937057,125.2998423
241,전라남도,신안군,가거도,34.06588642,125.1187489
242,전라남도,신안군,만재도,34.20954242,125.4687037
243,전라남도,신안군,다물도,34.73810719,125.443813
244,전라남도,신안군,하의도,34.59779903,126.0341656
245,전라남도,신안군,개도,34.64045693,126.0112611
246,전라남도,신안군,장병도,34.65379185,126.047697
247,전라남도,신안군,문병도,34.67054695,126.0362372
248,전라남도,신안군,능산도,34.61761948,126.0015446
249,전라남도,신안군,대야도,34.63371297,125.9645834
250,전라남도,신안군,신도,34.59146868,125.9752817
251,전라남도,신안군,장재도,34.60142043,126.0038447
252,전라남도,신안군,옥도,34.68140606,126.0700161
253,전라남도,신안군,상하태도,34.60665251,126.073445
254,전라남도,신안군,기도,34.63502252,126.0845893
255,전라남도,신안군,평사도,34.57903749,126.1451269
256,전라남도,신안군,고사도,34.56621802,126.1511249
257,전라남도,신안군,장산도,34.64397753,126.1574445
258,전라남도,신안군,백야도,34.61511399,126.1833367
259,전라남도,신안군,막금도,34.6214851,126.116586
260,전라남도,신안군,마진도,34.62173873,126.2059085
261,전라남도,신안군,율도(장산면),34.57768743,126.1950066
262,전라남도,신안군,안좌도,34.74720045,126.1230686
263,전라남도,신안군,요력도,34.72758699,126.187643
264,전라남도,신안군,자라도,34.68430867,126.172025
265,전라남도,신안군,부소도,34.69370688,126.1413205
266,전라남도,신안군,박지도,34.70728338,126.1290917
267,전라남도,신안군,반월도,34.70732067,126.1053749
268,전라남도,신안군,사치도,34.75387905,126.05201
269,전라남도,신안군,팔금도,34.78449093,126.1446514
270,전라남도,신안군,매도,34.81712565,126.1567085
271,전라남도,신안군,암태도,34.84483337,126.1007668
272,전라남도,신안군,추포도,34.80996585,126.0650332
273,전라남도,신안군,당사도,34.89007051,126.1829139
274,전라남도,신안군,초란도,34.88122239,126.1674605
275,전라남도,신안군,율도(지도읍),,
276,전라남도,신안군,노대도,34.77789928,126.0337188
277,전라남도,신안군,진섬,34.81316996,126.0809709
278,전라남도,신안군,외안도,34.84054901,126.305943
279,전라남도,신안군,역도,34.8500724,126.2181891
280,전라남도,신안군,용출도,34.81240841,126.3377643
281,전라남도,신안군,소단도,35.00032238,126.0980436
282,경상남도,창원시,실리도,35.06304208,128.6350248
283,경상남도,창원시,송도,35.09108016,128.4920295
284,경상남도,창원시,양도,35.08000888,128.4908674
285,경상남도,창원시,저도,35.06173723,128.5561008
286,경상남도,창원시,잠도,35.14118314,128.6710449
287,경상남도,창원시,우도,35.08572654,128.7213488
288,경상남도,통영시,미륵도,34.79750311,128.3690044
289,경상남도,통영시,오비도,34.81790054,128.3526816
290,경상남도,통영시,곤리도,34.78089747,128.365763
291,경상남도,통영시,추도,34.7561871,128.2954573
292,경상남도,통영시,학림도,34.74791729,128.4149136
293,경상남도,통영시,송도,34.75364372,128.4070306
294,경상남도,통영시,저도(산양읍),34.75274996,128.4004326
295,경상남도,통영시,만지도,34.73984254,128.3831204
296,경상남도,통영시,연대도,34.73244109,128.4011533
297,경상남도,통영시,오곡도,34.7275762,128.4269643
298,경상남도,통영시,해간도,34.86592772,128.4678777
299,경상남도,통영시,지도,34.84478034,128.3801413
300,경상남도,통영시,수도,34.93320577,128.4875886
301,경상남도,통영시,어의도,34.96364225,128.4844906
302,경상남도,통영시,연도,34.92457146,128.3306175
303,경상남도,통영시,읍도,34.82222264,128.2183161
304,경상남도,통영시,입도,34.92576811,128.437295
305,경상남도,통영시,저도(광도면),34.94327983,128.4344351
306,경상남도,통영시,욕지도,34.63636871,128.252369
307,경상남도,통영시,국도,34.54346895,128.4426862
308,경상남도,통영시,갈도,34.56599248,128.1864456
309,경상남도,통영시,초도,34.62097989,128.3033746
310,경상남도,통영시,연화도,34.64599423,128.3543242
311,경상남도,통영시,우도,34.65953947,128.3465292
312,경상남도,통영시,상노대도,34.67456266,128.2433994
313,경상남도,통영시,하노대도,34.66513298,128.2506025
314,경상남도,통영시,납도,34.68896089,128.2849415
315,경상남도,통영시,두미도,34.70131354,128.1864096
316,경상남도,통영시,한산도,34.77826712,128.4868508
317,경상남도,통영시,비산도,34.81148231,128.4950707
318,경상남도,통영시,좌도,34.79516825,128.5024242
319,경상남도,통영시,추봉도,34.76137604,128.5210376
320,경상남도,통영시,용호도,34.74123592,128.4905282
321,경상남도,통영시,비진도,34.72610729,128.4623533
322,경상남도,통영시,죽도,34.73142813,128.5293229
323,경상남도,통영시,매물도,34.64078598,128.5734159
324,경상남도,통영시,소매물도,34.62603269,128.5495247
325,경상남도,통영시,장사도,34.71190308,128.5596732
326,경상남도,통영시,가왕도,34.68428121,128.5783192
327,경상남도,통영시,상도,34.87794773,128.3750531
328,경상남도,통영시,수우도,34.83055005,128.1343431
329,경상남도,통영시,하도,34.82584677,128.232557
330,경상남도,사천시,마도,34.9435394,128.0304344
331,경상남도,사천시,저도,34.9435394,128.0304344
332,경상남도,사천시,늑도,34.92658968,128.043631
333,경상남도,사천시,초양도,34.92640804,128.0442109
334,경상남도,사천시,신도,34.9281044,128.0296329
335,경상남도,사천시,신수도,34.90104366,128.0777265
336,경상남도,사천시,비토도,34.9725158,127.9718201
337,경상남도,사천시,진도,34.96388746,127.9623984
338,경상남도,사천시,별학도,34.96216197,127.9708175
339,경상남도,사천시,월등도,34.97460044,127.9961983
340,경상남도,사천시,솔섬,34.98754359,127.9658688
341,경상남도,거제시,거제도,34.86098065,128.6295411
342,경상남도,거제시,내도,34.78544921,128.7140713
343,경상남도,거제시,외도,34.77045563,128.7117646
344,경상남도,거제시,지심도,34.81713991,128.7493835
345,경상남도,거제시,산달도,34.81255111,128.5366037
346,경상남도,거제시,화도,34.82750484,128.4707412
347,경상남도,거제시,고개도,34.95652292,128.6914634
348,경상남도,거제시,가조도,34.96026876,128.5216959
349,경상남도,거제시,칠천도,34.98851203,128.6358278
350,경상남도,거제시,황덕도,35.00944423,128.6220262
351,경상남도,거제시,이수도,34.9680015,128.729826
352,경상남도,고성군,와도,34.8946836,128.2519233
353,경상남도,고성군,자란도,34.92959188,128.2241434
354,경상남도,남해군,남해도,34.7922625,127.9650458
355,경상남도,남해군,노도,34.72673067,127.9389983
356,경상남도,남해군,조도,34.69712278,128.0506424
357,경상남도,남해군,호도,34.68699243,128.0471621
358,경상남도,남해군,창선도,34.87452775,127.9946198
359,경상남도,하동군,대도,34.92958524,127.8315962
360,경상남도,하동군,방아섬,34.98444424,127.9225928
361,경상남도,하동군,솔섬,34.97543687,127.9189372
