번호,관련번호,상위번호,도서명,자료출처,지명유래,X좌표,Y좌표,유무인도,연육도현황,기타,도형정보
791,화봉1,4.68E+18,고도,고시,"""고도""의 유래는 불명",131555.07,230601.41,0,,,POINT (131555.06944337115 230601.41007961723)
792,화봉2,4.68E+18,우도,수치,소 모양을 닮아 소 우(,131428.01,228861.93,0,,,POINT (131428.00956482315 228861.93458348745)
793,주광1,4.68E+18,닭섬,현지,닭 모양을 닮았다 함,131318.3,231341.32,0,,,POINT (131318.29887071004 231341.31954255322)
794,백암1,4.69E+18,고두섬,현지,-,143309.86,303896.82,0,,신규등록,POINT (143309.86095062632 303896.81808681914)
795,주광2,4.68E+18,시하도,수치,이곳 바다의 물살이 거,130616.9,233997.23,1,,할머니 1명이 목포와,POINT (130616.899227181 233997.2304318343)
796,주광3,4.68E+18,웃여,현지,시하도 위쪽에 있는 바,130952.72,234268.72,0,,,POINT (130952.71660401227 234268.7213484692)
797,구림3,4.68E+18,사도,고시,예전에 관청의 손님이,138929.12,238214.06,0,,,POINT (138929.1166229839 238214.06387568393)
798,마산1,4.68E+18,여도,수치,예전에 숯돌이 많이 나,139578.25,236723.1,0,,,POINT (139578.25106123288 236723.09645793057)
799,금호1,4.68E+18,민둥섬,현지,,141737.7,234519.58,0,,,POINT (141737.69741414365 234519.5816642982)
800,금호2,4.68E+18,신도,수치,,141882.94,234339.25,0,,,POINT (141882.93802004983 234339.25168830296)
801,금호3,4.68E+18,권둥섬,수치,,142136.34,234846.24,0,,,POINT (142136.34067463665 234846.24316470732)
802,용당1,4.68E+18,등대섬,현지,등대가 있는 섬,143108.62,241636.5,0,,,POINT (143108.62368281695 241636.49952282192)
803,용당2,4.68E+18,석화도,고시,소케섬(석화의 방언),142909.84,240883.9,0,,,POINT (142909.83509574062 240883.90125121298)
804,용당3,4.68E+18,구와도,고시,섬모양이 개가 누워있,142129.66,239631.5,0,연륙교,,POINT (142129.6566935014 239631.49800709047)
805,전남-무안-2,4.68E+18,닭섬,고시,섬 모양이 닭처럼 생겼,144918.48,251547.47,0,연륙교,,POINT (144918.47758550983 251547.46543446276)
806,전남-무안-3,4.68E+18,중도,고시,우도와 닭섬사이에 있,144564.48,251737.46,0,,,POINT (144564.47707624306 251737.45944622735)
807,전남-무안-5,4.68E+18,토끼섬,고시,복길리에서 이 섬을 바,143898.44,254678.43,0,,,POINT (143898.44069702097 254678.43268772197)
808,전남-무안-6,4.68E+18,대섬,고시,대나무가 많은 섬이라,143667.39,258573.41,0,,,POINT (143667.38858572504 258573.40604442992)
809,전남-무안-7,4.68E+18,(승도)대섬,고시,섬에 대나무가 많아 대,145339.14,276156.32,0,,,POINT (145339.1356022908 276156.3216093138)
810,전남-무안-8,4.68E+18,(소당섬)도당섬,고시,도당섬(禱堂島) 또는 ,145033.13,276452.32,0,,,POINT (145033.13337080323 276452.3155302144)
811,전남-무안-9,4.68E+18,소도,고시,작은섬이라하여 소도(,143653.13,277387.29,0,,,POINT (143653.12887538763 277387.29058395565)
812,전남-무안-10,4.68E+18,대도,고시,소도 북쪽에 위치한 큰,143021.12,278043.28,0,,,POINT (143021.12366686296 278043.277739964)
813,전남-무안-11,4.68E+18,엄도,고시,섬모양이 무서운 표정,140874.12,278942.24,0,,,POINT (140874.12445618006 278942.24236943416)
814,전남-무안-12,4.68E+18,어은도,고시,각종 고기가 숨어있기,144028.22,270496.34,0,,,POINT (144028.22202356375 270496.3383498088)
815,전남-무안-13,4.68E+18,(죽도)대섬,고시,원래는 자라섬이라 하,142862.23,270150.32,0,,,POINT (142862.23390889168 270150.32435907976)
816,전남-무안-14,4.68E+18,요강도,고시,섬의 모양이 요강처럼,142640.24,269680.32,0,,,POINT (142640.24175390555 269680.3241826579)
817,전남-무안-15,4.68E+18,야광주도,고시,예부터 이곳에 불을 밝,137449.28,269296.26,0,,,POINT (137449.2787502295 269296.25497616816)
818,전남-무안-16,4.68E+18,다드락섬,현지,섬 주변 파도소리가 다,132041.13,282782.1,0,,,POINT (132041.12637495587 282782.0960304156)
819,전남-무안-17,4.68E+18,와도,고시,개구리가 앉아 있는 모,137370.24,272034.24,0,,,POINT (137370.2415271535 272034.2369329261)
820,전남-무안-18,4.68E+18,율도,고시,섬 모양이 만조가 되면,133628.25,272860.18,0,,,POINT (133628.25321982626 272860.1802737571)
821,전남-무안-19,4.68E+18,유도,고시,섬 모양이 아낙의 가슴,143183.33,262752.37,0,,,POINT (143183.33400194658 262752.3740445522)
822,전남-무안-20,4.68E+18,양도,고시,섬 모양이 양(염소)을 ,142561.4,258384.39,0,,,POINT (142561.397807259 258384.39199014427)
823,전남-무안-21,4.68E+18,(띄섬)띠섬,고시,섬에 잔디가 많이 있다,142947.41,257321.4,0,,,POINT (142947.4100937791 257321.40371554915)
824,전남-무안-22,4.68E+18,조왕도,고시,새가 머무는 섬이라하,138276.42,258762.33,0,,,POINT (138276.41837013786 258762.3309177166)
825,전남-무안-23,4.68E+18,(장을도)장돌도,고시,섬 모양이 짱뚱어 고기,136244.42,259295.3,0,,,POINT (136244.42333366972 259295.29984736908)
826,전남-무안-24,4.68E+18,고도,현지,외로운 섬이라하여 고,140229.16,276326.25,0,연륙교,,POINT (140229.1646617802 276326.24974186625)
827,전남-무안-25,4.68E+18,은복도,고시,조선시대 이 섬에 군사,139207.18,275840.24,0,,,POINT (139207.17768530792 275840.23863297876)
828,전남-무안-26,4.68E+18,탄도,고시,숯이 많이 나는 섬이라,137511.29,268252.26,1,,,POINT (137511.2927361642 268252.2622765078)
829,전남-무안-27,4.68E+18,닭섬(닥섬),고시,닥나무가 많은 섬이라,139543.04,285579.18,1,,,POINT (139543.04064436426 285579.182251794)
830,전남-무안-28,4.68E+18,항상바위섬,현지,아내가 고기잡으로 나,140599.05,284769.2,0,,신규등록,POINT (140599.0453042975 284769.20202848205)
831,계마1,4.69E+18,쥐섬,고시,섬 오양이 쥐처럼 생겼,145574.25,310585.04,0,,,POINT (145574.2522721454 310585.0367375688)
832,계마2,4.69E+18,괭이섬,고시,섬 모양이 괭이처럼 생,145352.07,309685.71,0,,,POINT (145352.0663878636 309685.70943255926)
833,대신1,4.69E+18,돔배(도음소도),고시현지,선박이 많이 지나다니,145133.28,308717.01,0,,,POINT (145133.28145106093 308717.0126206053)
834,두우1,4.69E+18,비작도(가문여),수치,흙은 전혀 없고 바위로,136204.83,294772.58,0,,,POINT (136214.35997788198 294739.63317019236)
835,두우2,4.69E+18,비작도-1,부여,,134175.26,286320.2,0,,,POINT (134176.0842985742 288907.2163576455)
836,동백6,4.69E+18,거미서도,현지,,207185.28,177109.81,0,,,POINT (207185.27521390788 177109.80521747412)
837,옥실1,4.69E+18,닥섬,고시,일제시대 한자표기로 ,140080.62,286683.98,0,,,POINT (140080.6219281261 286683.98275030794)
838,옥실2,4.69E+18,민닭섬,현지,민둥산 처럼 길게 뻗어,139882.13,286428.78,0,,,POINT (139882.12671784245 286428.7816020336)
839,옥실3,4.69E+18,목도,고시,닥섬 동남쪽에  있는 ,141198.42,286203.01,0,,,POINT (141198.42162954516 286203.0113309532)
840,옥실4,4.69E+18,목도-1,고시,-,141374.42,286108.3,0,,,POINT (141374.42184800457 286108.30437624024)
841,옥실5,4.69E+18,쥐섬,고시,섬 모양이 오그리고 있,141880.09,288235.6,0,,,POINT (141880.08907401457 288235.5979958582)
842,상낙월1,4.69E+18,상낙월도,고시,낙월도라 부르는 섬으,122082.19,290045.21,1,,,POINT (122082.18939128463 290045.21221637446)
843,하낙월1,4.69E+18,하락월도,고시,상낙월리와 하낙월리,120426.91,289194.99,1,,,POINT (120426.91170004557 289194.99493817077)
844,임병1,4.69E+18,임병도,고시,병인년에 이 섬에서 아,131459.53,289781.14,0,,,POINT (131459.53325814294 289781.1434209218)
845,임병2,4.69E+18,소각시도,고시,작은각시 마을이 있는,129111.76,288815.62,1,,,POINT (129111.76151584755 288815.61711793503)
846,임병3,4.69E+18,대각시도,고시,큰각시 마을이 있는 섬,127992.68,287962.91,0,,,POINT (127992.68040172801 287962.9071208974)
847,임병4,4.69E+18,고거리,고시,높이 솟아있는 섬이라,125753.81,286669.48,0,,,POINT (125753.81246243713 286669.4845288646)
848,송이1,4.69E+18,송이도,고시,소나무가 많은 섬으로,122188.87,298877.16,1,,,POINT (122188.8668190554 298877.15624451)
849,송이2,4.69E+18,소노인도,고시,송이도의 앞 좌측에 위,128253.03,298812.34,0,,,POINT (128253.0285245497 298812.3407022731)
850,송이3,4.69E+18,납대기,고시,육지에서 멀리 떨어져,129222.05,296764.37,0,,,POINT (129222.05072026771 296764.36744113057)
851,송이4,4.69E+18,이산도,고시,송이도의 부속도서로 ,132915.05,302056.08,0,,,POINT (132915.0533643115 302056.08449407545)
852,송이5,4.69E+18,일산도,고시,송이도의 부속도서로 ,133623.66,301556.6,0,,,POINT (133623.65577124432 301556.59762033285)
853,송이6,4.69E+18,대노인도,수치,-,127413.92,300006.72,0,,,POINT (127413.9173548187 300006.72127825447)
854,송이7,4.69E+18,노랑여,현지,바위색깔이 노란색을 ,127751.41,300119.83,0,,,POINT (127751.41360487445 300119.8252278999)
855,송이8,4.69E+18,쥐섬,현지,섬모양이 쥐 처럼 생겼,127835.42,299370.63,0,,,POINT (127835.42346560325 299370.6312730034)
856,송이9,4.69E+18,갈구여,고시,옛날 이곳에 예씨가 살,130083.28,299735.86,0,,,POINT (130083.28390614809 299735.86013212556)
857,송이10,4.69E+18,육산도,고시,송이도의 부속도서로 ,134198.73,303100.7,0,,,POINT (134198.73052155558 303100.69562110124)
858,송이11,4.69E+18,사산도,고시,송이도의 부속도서로 ,133673.04,302813.89,0,,,POINT (133673.03791081993 302813.89014546387)
859,송이12,4.69E+18,삼산도,고시,송이도의 부속도서로 ,133344.24,302753.09,0,,,POINT (133344.24087720312 302753.08595185855)
860,신기1,4.69E+18,안마도,고시,섬의 지형이 말의 안장,111692.13,306169.16,1,,,POINT (111692.13487879657 306169.163078668)
861,신기2,4.69E+18,장재여,수치,-,109834.33,307498.33,0,,,POINT (109834.32887250106 307498.32857474085)
862,신기3,4.69E+18,대장재여,수치,-,111918.7,308236.45,0,,,POINT (110904.65809394336 308232.9590234646)
2100,사1,4.69E+18,사1,,,55118.58,228805.41,0,,,POINT (55118.58435308424 228805.40843773296)
863,신기4,4.69E+18,노고여,고시,바위색깔이 노랑빛을 ,111596.31,308369.25,0,,,POINT (111596.3051598481 308369.24704468105)
864,신기5,4.69E+18,할미여,현지,할미의 머리처럼 흰빛,111543.31,308374.75,0,,,POINT (111543.30543575605 308374.74627623643)
865,신기6,4.69E+13,대장재여-1,수치,-,110987.11,308181.74,0,,신규등록,POINT (110987.1117921166 308181.7398930939)
866,석만1,4.69E+18,석만도,고시,섬에 돌이 많고 덩굴처,113464.02,306127.29,1,,,POINT (113369.61558573115 308495.2351732346)
867,석만2,4.69E+18,소석만도,고시,석만도 남쪽에 있는 작,114374.79,308282.29,0,,,POINT (114374.78794518823 308282.2860139099)
868,석만3,4.69E+18,만풍도,고시,옛날 중국이 우리나라,114544.69,307695.99,0,,,POINT (114544.69492735178 307695.9922760365)
869,석만4,4.69E+18,"소바위, 우각서(왕등여",고시현지행정,섬 모양이 소의 뿔처럼,120985.24,308565.68,0,,,POINT (120985.24040872087 308565.675731326)
870,석만7,4.69E+18,대륙도(만재도),수치행정,-,121074.83,309229.47,0,,,POINT (121074.83059986276 309229.47257000837)
871,죽도1,4.69E+18,죽도,고시,섬 전체에 대나무가 많음,109318.04,306787.23,1,,,POINT (109318.04209881334 306787.226225445)
872,석만5,4.69E+18,"소바위-1, 소우각서 (왕",고시현지행정,-,121202.94,308741.48,0,,신규등록,POINT (121202.9365356528 308741.47758843587)
