연번,시도,시군구,섬이름,위도,경도,id_count,source_count,velocity_0_count,velocity_1_count,velocity_2_count,state_count,age_count,Points_0_count,Points_1_count,Points_2_count
157,전라남도,완도군,덕우도,34.248814619999997,127.015281000000002,,,,,,,,,,
158,전라남도,진도군,진도,34.456845459999997,126.242558200000005,,,,,,,,,,
159,전라남도,진도군,저도,34.509191870000002,126.165406700000005,536,536,536,536,536,536,536,536,536,536
160,전라남도,진도군,금호도,34.410811180000003,126.369068499999997,,,,,,,,,,
161,전라남도,진도군,모도(의신면),34.415982545208685,126.337146013900679,,,,,,,,,,
162,전라남도,진도군,접도,34.378215390000001,126.292705799999993,,,,,,,,,,
163,전라남도,진도군,상구자도,34.332213879999998,126.297977700000004,,,,,,,,,,
164,전라남도,진도군,하구자도,34.322732809999998,126.298373999999995,,,,,,,,,,
165,전라남도,진도군,죽도(임회면),34.365355000000001,126.124018399999997,6478,6478,6478,6478,6478,6478,6478,6478,6478,6478
166,전라남도,진도군,장도,34.455482869999997,126.099080799999996,62,62,62,62,62,62,62,62,62,62
167,전라남도,진도군,관매도,34.236545301859969,126.048078943648036,7,7,7,7,7,7,7,7,7,7
168,전라남도,진도군,동거차도,34.235381380000000,125.941725700000006,,,,,,,,,,
169,전라남도,진도군,서거차도,34.253989539999999,125.910623728957859,3,3,3,3,3,3,3,3,3,3
170,전라남도,진도군,상하죽도,34.250901599999999,125.924857200000005,4,4,4,4,4,4,4,4,4,4
171,전라남도,진도군,하조도,34.297138575070441,126.053646817758533,,,,,,,,,,
172,전라남도,진도군,대마도,34.266277920000000,125.991627100000002,,,,,,,,,,
173,전라남도,진도군,소마도,34.300196149999998,125.977574799999999,,,,,,,,,,
174,전라남도,진도군,관사도,34.315191110000001,125.974403300000006,,,,,,,,,,
175,전라남도,진도군,나배도,34.313555590000000,126.009187200000000,,,,,,,,,,
176,전라남도,진도군,상조도,34.334424910000003,126.025728400000006,,,,,,,,,,
177,전라남도,진도군,성남도,34.399583200000002,126.046236399999998,,,,,,,,,,
178,전라남도,진도군,소성남도,34.396811030000002,126.037568199999995,,,,,,,,,,
179,전라남도,진도군,죽항도,34.265046779999999,126.104217500000004,,,,,,,,,,
180,전라남도,진도군,독거도,34.251273246403173,126.180068287168467,,,,,,,,,,
181,전라남도,진도군,슬도,34.262536040000001,126.150140300000004,,,,,,,,,,
182,전라남도,진도군,탄항도,34.238907759999996,126.176132999999993,,,,,,,,,,
183,전라남도,진도군,혈도(독거도리),34.222883802695165,126.162623840750243,,,,,,,,,,
184,전라남도,진도군,청등도,34.246461320000002,126.082612800000007,,,,,,,,,,
185,전라남도,진도군,모도(조도면),34.289459659999999,125.996498200000005,,,,,,,,,,
186,전라남도,진도군,맹골도,34.212540420000003,125.855957000000004,,,,,,,,,,
187,전라남도,진도군,죽도(조도면),34.222709049999999,125.845618799999997,,,,,,,,,,
188,전라남도,진도군,곽도,34.196458460000002,125.859402799999998,,,,,,,,,,
189,전라남도,진도군,진목도,34.311290620000001,125.958698699999999,,,,,,,,,,
190,전라남도,진도군,갈목도,34.308141089999999,125.944593999999995,,,,,,,,,,
191,전라남도,진도군,옥도,34.355714679999998,126.018247500000001,,,,,,,,,,
192,전라남도,진도군,눌옥도,34.348099019999999,125.953353199999995,,,,,,,,,,
193,전라남도,진도군,외병도,34.371518309999999,125.938320599999997,,,,,,,,,,
194,전라남도,진도군,내병도,34.370535949999997,125.967206500000003,,,,,,,,,,
195,전라남도,진도군,가사도,34.479844950000000,126.050766600000003,,,,,,,,,,
196,전라남도,진도군,혈도(가사도리),34.515719079999997,126.087873799999997,,,,,,,,,,
197,전라남도,진도군,주지도,34.489099490000001,126.082232800000000,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553
198,전라남도,진도군,양덕도,34.492428099999998,126.106143399999993,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008
199,전라남도,진도군,송도,34.519750209999998,126.096607700000007,,,,,,,,,,
200,전라남도,진도군,광대도,34.528770719999997,126.105803199999997,,,,,,,,,,
201,전라남도,신안군,지도,35.105512879999999,126.213760300000004,,,,,,,,,,
202,전라남도,신안군,어의도,35.139771869999997,126.192395300000001,,,,,,,,,,
203,전라남도,신안군,대포작도,35.116418500000002,126.204692300000005,,,,,,,,,,
204,전라남도,신안군,소포작도,35.125463000000003,126.205370000000002,,,,,,,,,,
205,전라남도,신안군,송도,35.050015379999998,126.204218600000004,6478,6478,6478,6478,6478,6478,6478,6478,6478,6478
206,전라남도,신안군,사옥도,35.043629899999999,126.167631099999994,,,,,,,,,,
207,전라남도,신안군,선도,34.989662570000000,126.257397499999996,,,,,,,,,,
208,전라남도,신안군,압해도,34.872155890000002,126.306088700000004,,,,,,,,,,
209,전라남도,신안군,우간도,34.905358430000000,126.351689300000004,,,,,,,,,,
210,전라남도,신안군,고이도,34.953551760000003,126.284655000000001,,,,,,,,,,
211,전라남도,신안군,매화도,34.924632330000001,126.236096000000003,,,,,,,,,,
212,전라남도,신안군,마산도,34.950797860000002,126.240232300000002,,,,,,,,,,
213,전라남도,신안군,황마도,34.946750029999997,126.253200100000001,,,,,,,,,,
214,전라남도,신안군,가란도,34.871749090000002,126.366993899999997,,,,,,,,,,
215,전라남도,신안군,증도,35.009844270000002,126.114581099999995,,,,,,,,,,
216,전라남도,신안군,화도,34.947963250000001,126.162788500000005,,,,,,,,,,
217,전라남도,신안군,병풍도,34.966818600000003,126.208330700000005,,,,,,,,,,
218,전라남도,신안군,대기점도,34.943911919999998,126.199876900000007,,,,,,,,,,
219,전라남도,신안군,소기점도,34.932518880000003,126.200998900000002,,,,,,,,,,
220,전라남도,신안군,소악도,34.924182879999996,126.195507100000000,,,,,,,,,,
221,전라남도,신안군,임자도,35.094188760000002,126.089018800000005,,,,,,,,,,
222,전라남도,신안군,재원도,35.090736000000000,126.020713099999995,,,,,,,,,,
223,전라남도,신안군,부남도,35.080702819999999,125.919718500000002,,,,,,,,,,
224,전라남도,신안군,수도,35.086321519999998,126.138283900000005,,,,,,,,,,
225,전라남도,신안군,자은도,34.890628669999998,126.032523299999994,,,,,,,,,,
226,전라남도,신안군,비금도,34.768365660000001,125.934679500000001,,,,,,,,,,
227,전라남도,신안군,수치도,34.734701299999998,126.020564899999997,,,,,,,,,,
228,전라남도,신안군,상수치도,34.760467859999999,126.019876300000007,,,,,,,,,,
229,전라남도,신안군,도초도,34.694547440000001,125.961015000000003,,,,,,,,,,
230,전라남도,신안군,우이도,34.611091860000002,125.841498599999994,,,,,,,,,,
231,전라남도,신안군,동소우이도,34.604635199999997,125.884526600000001,,,,,,,,,,
232,전라남도,신안군,서소우이도,34.607610610000002,125.870122600000002,,,,,,,,,,
233,전라남도,신안군,대흑산도,34.666301529999998,125.414154499999995,,,,,,,,,,
234,전라남도,신안군,장도,34.677921779999998,125.376956100000001,,,,,,,,,,
235,전라남도,신안군,영산도,34.647204819999999,125.468604700000000,,,,,,,,,,
236,전라남도,신안군,대둔도,34.727952750000000,125.459811099999996,,,,,,,,,,
237,전라남도,신안군,홍도,34.691765510000003,125.198884199999995,,,,,,,,,,
238,전라남도,신안군,상태도,34.441731330000003,125.288542500000005,,,,,,,,,,
239,전라남도,신안군,중태도,34.426279240000000,125.283153600000006,,,,,,,,,,
240,전라남도,신안군,하태도,34.389370569999997,125.299842299999995,,,,,,,,,,
241,전라남도,신안군,가거도,34.065886419999998,125.118748900000000,,,,,,,,,,
242,전라남도,신안군,만재도,34.209542419999998,125.468703700000006,,,,,,,,,,
243,전라남도,신안군,다물도,34.738107190000001,125.443813000000006,,,,,,,,,,
244,전라남도,신안군,하의도,34.597799029999997,126.034165599999994,1,1,1,1,1,1,1,1,1,1
245,전라남도,신안군,개도,34.640456929999999,126.011261099999999,,,,,,,,,,
246,전라남도,신안군,장병도,34.653791849999998,126.047696999999999,,,,,,,,,,
247,전라남도,신안군,문병도,34.670546950000002,126.036237200000002,,,,,,,,,,
248,전라남도,신안군,능산도,34.617619480000002,126.001544600000003,451,451,451,451,451,451,451,451,451,451
249,전라남도,신안군,대야도,34.633712969999998,125.964583399999995,,,,,,,,,,
250,전라남도,신안군,신도,34.591468677801885,125.975281691522781,6560,6560,6560,6560,6560,6560,6560,6560,6560,6560
251,전라남도,신안군,장재도,34.601420429999997,126.003844700000002,618,618,618,618,618,618,618,618,618,618
252,전라남도,신안군,옥도,34.681406060000000,126.070016100000004,8,8,8,8,8,8,8,8,8,8
253,전라남도,신안군,상하태도,34.606652510000004,126.073445000000007,,,,,,,,,,
254,전라남도,신안군,기도,34.635022520000000,126.084589300000005,1,1,1,1,1,1,1,1,1,1
255,전라남도,신안군,평사도,34.579037489999997,126.145126899999994,,,,,,,,,,
256,전라남도,신안군,고사도,34.566218020000001,126.151124899999999,,,,,,,,,,
257,전라남도,신안군,장산도,34.643977530000001,126.157444499999997,,,,,,,,,,
258,전라남도,신안군,백야도,34.615113989999998,126.183336699999998,,,,,,,,,,
259,전라남도,신안군,막금도,34.621485100000001,126.116585999999998,,,,,,,,,,
260,전라남도,신안군,마진도,34.621738729999997,126.205908500000007,6,6,6,6,6,6,6,6,6,6
261,전라남도,신안군,율도(장산면),34.577687428374524,126.195006622860546,159,159,159,159,159,159,159,159,159,159
262,전라남도,신안군,안좌도,34.747200450000001,126.123068599999996,4,4,4,4,4,4,4,4,4,4
263,전라남도,신안군,요력도,34.727586989999999,126.187642999999994,1,1,1,1,1,1,1,1,1,1
264,전라남도,신안군,자라도,34.684308670000000,126.172025000000005,9,9,9,9,9,9,9,9,9,9
265,전라남도,신안군,부소도,34.693706878299004,126.141320491431955,,,,,,,,,,
266,전라남도,신안군,박지도,34.707283380000000,126.129091700000004,18,18,18,18,18,18,18,18,18,18
267,전라남도,신안군,반월도,34.707320670000001,126.105374900000001,20,20,20,20,20,20,20,20,20,20
268,전라남도,신안군,사치도,34.753879050000002,126.052009999999996,,,,,,,,,,
269,전라남도,신안군,팔금도,34.784490929999997,126.144651400000001,,,,,,,,,,
270,전라남도,신안군,매도,34.817125650000001,126.156708499999993,,,,,,,,,,
271,전라남도,신안군,암태도,34.844833370000003,126.100766800000002,,,,,,,,,,
272,전라남도,신안군,추포도,34.809965849999998,126.065033200000002,,,,,,,,,,
273,전라남도,신안군,당사도,34.890070510000001,126.182913900000003,,,,,,,,,,
274,전라남도,신안군,초란도,34.881222389999998,126.167460500000004,,,,,,,,,,
275,전라남도,신안군,율도(지도읍),34.577353000000002,126.194573000000005,159,159,159,159,159,159,159,159,159,159
276,전라남도,신안군,노대도,34.777899280000000,126.033718800000003,,,,,,,,,,
277,전라남도,신안군,진섬,34.813169960000003,126.080970899999997,,,,,,,,,,
278,전라남도,신안군,외안도,34.840549009999997,126.305942999999999,101,101,101,101,101,101,101,101,101,101
279,전라남도,신안군,역도,34.850072400000002,126.218189100000004,,,,,,,,,,
280,전라남도,신안군,용출도,34.812408410000003,126.337764300000003,122,122,122,122,122,122,122,122,122,122
281,전라남도,신안군,소단도,35.000322380000000,126.098043599999997,,,,,,,,,,
282,경상남도,창원시,실리도,35.063042080000002,128.635024799999997,,,,,,,,,,
283,경상남도,창원시,송도,35.091080159999997,128.492029500000001,,,,,,,,,,
284,경상남도,창원시,양도,35.080008880000001,128.490867400000013,,,,,,,,,,
285,경상남도,창원시,저도,35.061737229999999,128.556100799999996,,,,,,,,,,
286,경상남도,창원시,잠도,35.141183140636905,128.671044938349667,,,,,,,,,,
287,경상남도,창원시,우도,35.085726540000003,128.721348799999987,132,132,132,132,132,132,132,132,132,132
288,경상남도,통영시,미륵도,34.797503110000001,128.369004399999994,26,26,26,26,26,26,26,26,26,26
289,경상남도,통영시,오비도,34.817900539999997,128.352681600000011,2,2,2,2,2,2,2,2,2,2
290,경상남도,통영시,곤리도,34.780897469999999,128.365762999999987,,,,,,,,,,
291,경상남도,통영시,추도,34.756187099999998,128.295457300000010,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731
292,경상남도,통영시,학림도,34.747917289999997,128.414913600000006,,,,,,,,,,
293,경상남도,통영시,송도,34.753643719999999,128.407030600000013,,,,,,,,,,
294,경상남도,통영시,저도(산양읍),34.752749960000003,128.400432599999988,,,,,,,,,,
295,경상남도,통영시,만지도,34.739842539999998,128.383120399999996,,,,,,,,,,
296,경상남도,통영시,연대도,34.732441092169310,128.401153280336274,,,,,,,,,,
297,경상남도,통영시,오곡도,34.727576200000001,128.426964300000009,,,,,,,,,,
298,경상남도,통영시,해간도,34.865927720000002,128.467877700000003,,,,,,,,,,
299,경상남도,통영시,지도,34.844780340000000,128.380141299999991,,,,,,,,,,
300,경상남도,통영시,수도,34.933205770000001,128.487588600000009,,,,,,,,,,
301,경상남도,통영시,어의도,34.963642249999999,128.484490599999987,,,,,,,,,,
302,경상남도,통영시,연도,34.924571460000003,128.330617499999988,,,,,,,,,,
303,경상남도,통영시,읍도,34.822222640000000,128.218316100000010,,,,,,,,,,
304,경상남도,통영시,입도,34.925768110000000,128.437295000000006,,,,,,,,,,
305,경상남도,통영시,저도(광도면),34.943279830000002,128.434435100000002,,,,,,,,,,
306,경상남도,통영시,욕지도,34.636368709999999,128.252368999999987,,,,,,,,,,
307,경상남도,통영시,국도,34.543468947539054,128.442686184981909,,,,,,,,,,
308,경상남도,통영시,갈도,34.565992479999998,128.186445600000013,,,,,,,,,,
309,경상남도,통영시,초도,34.620979890000001,128.303374600000012,,,,,,,,,,
310,경상남도,통영시,연화도,34.645994229999999,128.354324200000008,,,,,,,,,,
