src_node,dst_node,island_name,release_point_id,attn_layer1_mean,attn_layer2
106,138,남해유구,107,0.012280855,1.3311291e-15
106,139,여수반월,107,0.12305486,8.639363e-18
106,140,여수안도,107,0.0090437345,4.242418e-14
106,141,여수백야도,107,0.012490324,3.953018e-14
106,144,통영망일봉,107,0.0051023327,2.329106e-07
106,149,통영욕지도,107,0.0062777405,2.6614884e-11
107,127,고흥신흥,108,0.005086184,8.1745535e-09
107,128,고흥염포,108,0.00496,1.9224458e-07
107,132,완도평일도,108,0.008062909,0.0010880454
107,133,완도신지도,108,0.094982825,0.34782863
107,137,고성하일,108,0.004843899,2.1624774e-06
107,138,남해유구,108,0.0039023992,2.4869953e-11
107,139,여수반월,108,0.0057704635,1.7061805e-13
107,140,여수안도,108,0.0046633664,3.0037084e-11
107,141,여수백야도,108,0.008518734,2.315887e-13
108,127,고흥신흥,109,0.009264301,2.1176227e-11
108,128,고흥염포,109,0.007162415,4.8223214e-10
108,129,해남송평,109,0.006064451,5.587327e-06
108,130,해남묵동리,109,0.007822297,0.002900163
108,131,해남예락,109,0.0074522886,0.002440275
108,132,완도평일도,109,0.005680301,7.2145214e-09
108,133,완도신지도,109,0.0056732427,4.4993348e-07
108,135,신안압해도,109,0.016315153,0.026558464
108,138,남해유구,109,0.004179913,1.4807567e-07
108,139,여수반월,109,0.0044759847,7.203853e-10
108,140,여수안도,109,0.0044634105,7.581406e-09
108,141,여수백야도,109,0.004602748,1.7067514e-10
108,142,여수거문도,109,0.006032603,1.1620932e-06
108,147,완도보길도,109,0.03426091,0.10419073
109,127,고흥신흥,110,0.013421716,0.028396787
109,128,고흥염포,110,0.03976775,0.12539925
109,137,고성하일,110,0.006600586,2.0469263e-11
109,138,남해유구,110,0.008207413,1.0056139e-14
109,139,여수반월,110,0.0055918014,2.993892e-13
109,140,여수안도,110,0.0045405687,1.2382644e-07
109,141,여수백야도,110,0.0043578306,1.3111657e-09
109,144,통영망일봉,110,0.0050278357,6.539241e-08
109,149,통영욕지도,110,0.0052477983,2.2412247e-10
110,137,고성하일,111,0.06614163,2.3675973e-15
110,138,남해유구,111,0.0048304074,7.761724e-13
110,139,여수반월,111,0.004338138,3.7263767e-10
110,140,여수안도,111,0.0048401784,2.9408473e-06
110,141,여수백야도,111,0.0046870317,4.8841766e-06
110,144,통영망일봉,111,0.008562335,8.014719e-12
110,145,마산봉암,111,0.0075246617,6.662827e-05
110,146,거제두모,111,0.006504701,0.00010079886
110,148,부산가덕도,111,0.10280776,0.36643264
110,149,통영욕지도,111,0.0117763225,6.086765e-13
111,137,고성하일,112,0.23347227,4.1064274e-16
111,138,남해유구,112,0.003856741,4.285226e-11
111,139,여수반월,112,0.0045625693,2.835638e-08
111,140,여수안도,112,0.0052964296,7.9476864e-05
111,141,여수백야도,112,0.0053161755,0.00033442435
111,144,통영망일봉,112,0.013100451,6.4882615e-13
111,145,마산봉암,112,0.008832169,4.8960383e-06
111,146,거제두모,112,0.0065773902,5.5403066e-06
111,148,부산가덕도,112,0.0131953545,0.019567158
111,149,통영욕지도,112,0.00553582,1.3930952e-10
