번호,관련번호,상위번호,도서명,자료출처,지명유래,X좌표,Y좌표,유무인도,연육도현황,기타,도형정보,lat,lon
23,연도10,4.61E+18,작은간여,고시,연도 동남쪽에 있는 2,278622.67,188515.68,0,,,POINT (278622.67144445964 188515.680899008),34.288683132312656,127.85392273030243
24,연도11,4.61E+18,간여,고시,이 섬은 연도리에서 상,278648.67,188468.68,0,,,POINT (278648.6720089352 188468.68148860813),34.2882575115715,127.85420080203167
25,연도12,4.61E+18,연도,고시,옛날 풍수가 거처하면,273732.46,204901.53,1,,,POINT (273732.4558949201 204901.5342044293),34.43674206863512,127.80222118505839
26,개도12,4.61E+18,개도,고시,천재봉과 봉화산의 형,261295.31,219277.28,1,,,POINT (261295.30610110585 219277.2841591229),34.56713732601159,127.66794472015724
27,제도1,4.61E+18,도막여-1,고시,화정면 제도리 남쪽에,259986.28,221556.25,0,,,POINT (259986.27937348283 221556.25389416167),34.587756887562335,127.6538416755043
28,제도2,4.61E+18,큰여,고시,제도리 남쪽에 위치한,259932.28,221506.25,0,,,POINT (259932.28036431942 221506.25335667626),34.58730934651026,127.65324958999734
29,조발3,4.61E+18,납대기도,고시,"1/50,000 지형도에 하과",249073.27,225639.08,0,,,POINT (249073.27417270845 225639.07525221998),34.62513892027785,127.53513261316326
30,조발4,4.61E+18,둔병도,고시,마을앞 갯벌에 병사들,249723.27,225931.08,1,,,POINT (249723.26669923734 225931.0831801957),34.62773970301075,127.5422375565217
31,조발6,4.61E+18,홍도,고시,섬에 소나무(松)가 없,250874.26,226130.1,0,,,POINT (250874.25806838478 226130.09883791232),34.629477220213815,127.55480065287462
32,조발9,4.61E+18,토도,수치,섬의 모양이 토끼와 같,252189.23,227389.11,0,,,POINT (252189.23325756143 227389.1115396208),34.640759780910756,127.56921774206678
33,조발10,4.61E+18,조발도,고시,조발리의 리명을 따서,251267.25,226752.1,1,,,POINT (251267.24709650988 226752.10139088688),34.635064328881946,127.5591237770712
34,적금1,4.61E+18,만월도,고시,섬이 달 모양처럼 둥글,247916.23,229095.04,0,,,POINT (247916.22998297508 229095.04097791837),34.656345613422836,127.52271126282297
35,거문9,4.61E+18,고도보찰여,고시,상백도내의 무인도로 ,253904.14,163233.44,0,,,POINT (253904.14262939454 163233.44113103073),34.06235115862644,127.58389737802098
36,거문10,4.61E+18,높은날섬,고시,상백도내의 무인도로 ,253793.15,162992.44,0,,,POINT (253793.14651629125 162992.4406402363),34.06018430798371,127.58268030398109
37,거문11,4.61E+18,물개바위,고시,상배도내의 무인도로 ,253643.15,162981.44,0,,,POINT (253643.14733228038 162981.43857441476),34.06009283692573,127.58105492048105
38,거문12,4.61E+18,사람바위,고시,상백도내의 무인도로 ,253801.15,162776.44,0,,,POINT (253801.14952594554 162776.44171561586),34.058236709451876,127.58275362772216
49,손죽27,4.61E+18,소두역서,고시,섬의 형태가 작은머리,250001.85,184931.29,0,,,POINT (250001.85317619998 184931.2867309947),34.25814369332637,127.54287938795974
211,수정1,4.61E+18,오동도,고시,이곳에 동백꽃 나무가,270162.97,239036.32,1,연륙교,,POINT (270162.973314436 239036.31557556224),34.74466925010825,127.76620720396942
212,중앙1,4.61E+18,장군도,고시,연산3년(1497년) 수사 이,267395.01,237733.28,0,,,POINT (267395.006297846 237733.28139610827),34.73311073680924,127.73587810424485
213,신월2,4.61E+18,능초도,수치,,263828.05,236155.24,0,,,POINT (263828.04728133156 236155.23698623746),34.71911601462481,127.69681414277571
214,신월3,4.61E+18,조도,고시,새와 같이 생겼다 하여,263150.06,235296.23,0,,,POINT (263150.0632578141 235296.23138792138),34.71141534696707,127.68934871247258
215,오천1,4.61E+18,돈반여,고시,"예전에 섬에 미역, 전",270127.9,243955.29,0,,,POINT (270127.90093156515 243955.2901691753),34.78900817001314,127.76623389314742
216,경호1,4.61E+18,야도,고시,불무와 같이 생겼다 하,265168.04,236308.26,1,,,POINT (265168.0383431323 236308.2558702897),34.7204107244637,127.71145370994404
217,경호3,4.61E+18,가장도,고시,섬이 길게 생기었다 하,265095.05,235656.26,0,,,POINT (265095.0482725937 235656.25808717433),34.7145385347498,127.71060663869935
218,경호4,4.61E+18,풍락도,고시,큰 풍우에 떨어져 나갔,264793.05,235418.25,0,,,POINT (264793.0532690866 235418.25485682825),34.712412397322964,127.70729182967654
219,경호5,4.61E+18,노량도,고시,섬이 누렇게 생긴 진흙,265016.05,235247.26,0,,,POINT (265016.05466503114 235247.258989165),34.71085701217389,127.70971280441655
220,경호6,4.61E+18,암목도,고시,바위 위에 나무가 서 ,263797.06,235070.24,0,,,POINT (263797.0633384613 235070.24200907158),34.70933820272736,127.69639385904368
221,경호7,4.61E+18,소경도,고시,대경도에 비해 규모가,264748.06,234830.26,1,,,POINT (264748.0621145573 234830.25715906994),34.707115353586246,127.70675566140508
222,경호8,4.61E+18,고서,고시,북과 같이 생겼다 하여,263739.09,233566.25,0,,,POINT (263739.0856577464 233566.2487348467),34.69578543850959,127.69564763503426
223,경호9,4.61E+18,초도,고시,대경도에서 제일 가까,265317.08,233245.27,0,,,POINT (265317.08251677983 233245.27346709435),34.69279273617209,127.71284382538032
224,경호10,4.61E+18,부도,고시,장고와 같이 생겼다 하,265065.09,232853.27,0,,,POINT (265065.089511129 232853.2717405135),34.68927545936066,127.71006372195893
225,경호11,4.61E+18,부서,행정,여수시 관내 행정지도,265064.09,232580.27,0,,,POINT (265064.09351527295 232580.27309475472),34.68681480916204,127.71003179818497
226,경호12,4.61E+18,송도,고시,예전에 소나무가 많이,267407.04,235686.29,0,,,POINT (267407.0363197019 235686.29187892727),34.714659401079054,127.73584594138966
227,경호13,4.61E+18,노도,고시,겨울철이 되면 풀이 희,267985.04,235136.3,0,,,POINT (267985.041527619 235136.30313287012),34.70966379459258,127.74211090355122
228,경호14,4.61E+18,넓섬,수치,,267991.09,231772.32,0,,,POINT (267991.0908807622 231772.3200478984),34.67934205766534,127.74190629862554
229,경호15,4.61E+18,대경도,고시,본 섬은 경호동 내에서,266537.05,234933.28,1,,,POINT (266537.0517010738 234933.2828867276),34.707929104128766,127.72629007897366
230,소호1,4.61E+18,가덕도,수치,,260238.03,238558.17,0,,,POINT (260238.03009998938 238558.1721813663),34.74099301067805,127.65779564005344
231,웅천1,4.61E+18,두력도,고시,"섬이 둥글다하여 원섬,",261559.03,238252.19,0,,,POINT (261559.02792713378 238252.19309347094),34.73815627079825,127.67219767291849
232,웅천2,4.61E+18,장도,고시,길게 생긴 섬이라 하여,260829.02,238821.18,1,,,POINT (260829.02326740586 238821.17949884507),34.743328656242,127.6642678085138
233,중흥1,4.61E+18,일간도,고시,이웃한 세개의 섬중 북,258985.86,250751.09,0,,,POINT (258985.8575264951 250751.09093791235),34.85096777376904,127.64497809478524
234,중흥2,4.61E+18,이간도,고시,이웃한 세개의 섬중 북,259021.86,250431.09,0,,,POINT (259021.862048054 250431.0931355629),34.848081370575045,127.6453491928144
235,중흥3,4.61E+18,삼간도,고시,이웃한 세개의 섬중 북,259044.87,249857.1,1,,,POINT (259044.87037165204 249857.0964634741),34.84290638207987,127.64556036910722
236,적량1,4.61E+18,쥐섬,고시,쥐의 형상처럼 생겨서,263282.82,251808.15,0,,,POINT (263282.81982023385 251808.14875677385),34.86023724029108,127.69203985106002
237,월내2,4.61E+18,새섬,고시,"두루미, 백조,황새,갈",265921.8,251897.19,0,,,POINT (265921.8049581667 251897.1872741428),34.860872142731466,127.72090387575948
238,묘도1,4.61E+18,서치도,고시,섬이 쥐 같이 생겼다 ,262745.81,252664.14,0,,,POINT (262745.8099529197 252664.13637899357),34.86798588626227,127.68623175078551
239,묘도2,4.61E+18,황도,행정,여수시 관내 행정지도,263816.8,253276.15,0,,,POINT (263816.79539994785 253276.1490071012),34.8734354863762,127.69799069499133
240,묘도3,4.61E+18,황도,고시,고양이섬(묘도)의 고양,264172.8,253030.16,0,,,POINT (264172.7972005118 253030.15554638737),34.87119587972063,127.70186531217051
241,묘도4,4.61E+18,소당도,고시,섬 안에 집 같은 작은,265210.8,252584.17,0,,,POINT (265210.7984531544 252584.1732024852),34.86710996687139,127.7131825530269
242,묘도5,4.61E+18,목도,고시,옛날부터 이 섬에 나무,265716.8,252272.18,0,,,POINT (265716.80046684167 252272.18230046792),34.864265319009355,127.71869160723524
243,묘도6,4.61E+18,송도,고시,옛날부터 이 섬에 소나,266668.79,252705.19,0,,,POINT (266668.78918156953 252705.1941348997),34.86810619434644,127.72913646097619
244,묘도7,4.61E+18,묘도,고시,섬의 모양이 고양이와,265953.77,254488.17,1,,,POINT (265953.76647730975 254488.1742975206),34.884223369469645,127.72145745340683
245,신덕1,4.61E+18,백도,고시,갈매기가 석양이 되면,271075.84,247639.29,0,,,POINT (271075.8416944789 247639.28541384806),34.82214750276936,127.7769020035477
246,군내1,4.61E+18,상중도,고시,시리(시루)와 같이 생,264971.21,224678.31,0,,,POINT (264971.2095188614 224678.31107083766),34.61559512288059,127.70841208180619
247,군내2,4.61E+18,하증도,고시,섬의 모양이 시리(시루,265338.21,224476.32,0,,,POINT (265338.21067380474 224476.31742709392),34.613751142774355,127.71239782989372
248,군내3,4.61E+18,장구섬,고시,송도의 남쪽에 있는 섬,265529.22,223524.32,0,,,POINT (265529.2236372541 223524.32491253823),34.60515791102153,127.71440680479057
249,군내4,4.61E+18,송도,고시,예전부터 이 섬에 소나,265530.22,223932.32,1,,,POINT (265530.21767745836 223932.32291534916),34.608835442899526,127.714449206697
250,율림1,4.61E+18,밤섬,고시,섬의 모양이 밤처럼 생,273198.18,224004.43,0,,,POINT (273198.1793942341 224004.4347735835),34.6089672435454,127.79804926845172
251,금봉1,4.61E+18,여초,고시,바닷물이 만조할 때는,264042.1,232702.26,0,,,POINT (264042.09680126666 232702.25751396804),34.68797883995195,127.69888900048699
252,금봉2,4.61E+18,소죽도,행정,여수시 관내 행정지도,264646.1,232546.27,0,,,POINT (264646.09608683106 232546.2671420807),34.68653483287321,127.70546806141047
253,금봉3,4.61E+18,까막섬,행정,여수시 관내 행정지도,262533.12,231345.24,0,,,POINT (262533.1241461209 231345.24224686774),34.6758404275932,127.68232225480484
254,금봉4,4.61E+18,금죽도,고시,예전에 이 섬에 큰 대,264313.11,231581.27,1,,,POINT (264313.1118653016 231581.26710300538),34.67785765967547,127.70176106699697
255,금봉5,4.61E+18,취도,고시,추나물이 많이 있다 하,265129.12,230719.28,0,,,POINT (265129.1204430506 230719.28336007538),34.67003642273367,127.71059810379089
256,금봉6,4.61E+18,정개도,고시,섬의 모양이 솥뚜껑과,264905.15,228795.29,0,,,POINT (264905.14969571924 228795.28967960237),34.652708475046516,127.70800709711106
257,금봉7,4.61E+18,항대도,고시,섬의 모양이 소의 모가,265432.16,227685.3,0,,,POINT (265432.1633322734 227685.3029069382),34.64266989300624,127.71366976303412
258,금봉8,4.61E+18,백도,고시,섬의 빛이 흰빛을 띤다,264838.18,226918.3,0,,,POINT (264838.17745960434 226918.29803267214),34.63579413851133,127.70713296486612
259,금봉9,4.61E+18,독도,고시,섬의 모양이 송아지가,264988.18,226922.3,0,,,POINT (264988.1766646535 226922.30020475597),34.63582069773592,127.7087690790286
260,금봉10,4.61E+18,서근도,고시,금봉리의 서쪽에 있는,265277.17,227008.3,0,,,POINT (265277.17398924974 227008.30400177924),34.63657751801372,127.71192724857208
261,평사1,4.61E+18,샛섬,수치,,267086.12,230314.31,0,,,POINT (267086.1167171602 230314.31404379872),34.666259865107826,127.73191653390217
262,평사2,4.61E+18,경도,고시,줄기있는 풀이 많은 섬,267139.12,229984.32,0,,,POINT (267139.1212909035 229984.31646321452),34.663281996722596,127.73246855013161
263,평사3,4.61E+18,볼무섬,고시,섬의 모양이 불무(불을,275002.09,229291.44,0,,,POINT (275002.0929774297 229291.43536348204),34.65649126517932,127.81818258186978
264,사곡1,4.61E+18,복개도,고시,섬의 모양이 육지에서,251339.0,243932.01,0,,,POINT (251338.99687476113 243932.01436702086),34.7899175119359,127.56095085076127
265,사곡2,4.61E+18,장구도,고시,섬의 생김이 장구(고전,251178.0,243649.01,0,,,POINT (251178.00183470827 243649.0134885796),34.78737472388794,127.55917455558965
266,사곡3,4.61E+18,모개도,고시,섬의 모양이 모과(과일,251006.01,243011.01,0,,,POINT (251006.01203009402 243011.0142950787),34.78163258374148,127.5572567813335
267,복산1,4.61E+18,새섬,현지,궁항과 섬달천 사이에,251240.89,242012.56,0,,,POINT (251240.88538926758 242012.56290529273),34.77262104704195,127.55976202510855
268,복산2,4.61E+18,달천도,고시,옛날 사면이 바다로 되,251617.65,241156.11,1,연륙교,,POINT (251617.6459490102 241156.112838579),34.7648822367643,127.56382512072041
269,신풍1,4.61E+18,달섬,고시,학서마을 남동쪽에 위,256624.87,250909.06,0,,,POINT (256624.8674057582 250909.05539769615),34.852525800607864,127.61917399231638
270,여동2,4.61E+18,큰방섬,고시,율촌면 장도(기매립됨),255634.83,254112.02,0,,,POINT (255634.8254727745 254112.02403567528),34.88145038295791,127.60856144035023
272,여동3,4.61E+18,송도,고시,섬의 형체가 누워있는,256766.82,254029.04,1,,,POINT (256766.8207990437 254029.04112433403),34.88063983562954,127.62093744622975
273,여동4,4.61E+18,칼섬,고시,송도 밑에 조그만 섬으,257731.82,253480.06,0,,,POINT (257731.82386189216 253480.05820996704),34.87563725584727,127.63145458237096
274,여동5,4.61E+18,낭도,고시,옛날 처녀가 계모의 모,258497.82,253692.07,0,,,POINT (258497.81676493504 253692.0683766824),34.87750439862621,127.63984722457528
275,여동6,4.61E+18,우잔도,고시,소늑도 옆에 위치하고,255755.84,252964.03,0,,,POINT (255755.8417183574 252964.03185309237),34.87109633496132,127.60980862093237
276,여동7,4.61E+18,소륵도,고시,섬의 암석이 미륵같이,255790.84,252782.03,1,,,POINT (255790.84421110537 252782.03332369926),34.8694539549239,127.61017928150008
277,여동8,4.61E+18,거북섬,고시,소늑도 대늑도 사이에,256185.84,252971.04,0,,,POINT (256185.83937995645 252971.0381377794),34.87113584334135,127.61451181612955
278,여동9,4.61E+18,중륵도,고시,소늑도와 대늑도 사이,256255.84,252830.04,0,,,POINT (256255.841088951 252830.03990736033),34.869861067506875,127.61526790838452
280,여동10,4.61E+18,대륵도,고시,섬의 암석이 미륵같은,256778.84,252626.05,1,,,POINT (256778.84137208876 252626.04866823123),34.86799332712634,127.62097381876893
281,여동11,4.61E+18,교도,고시,섬의 모양이 가마와 같,258240.85,251831.07,0,,,POINT (258240.84548782583 251831.07433729665),34.86074508888415,127.63690728895126
282,나진1,4.61E+18,마물도,고시,울을 돌로 쌓아서 성처,259330.09,234652.18,0,,,POINT (259330.09179974993 234652.17875177693),34.705838856598476,127.64760694535683
283,나진2,4.61E+18,장재도,고시,지형에 따라 천마산혈,257910.12,233159.17,0,,,POINT (257910.12071450346 233159.16558137198),34.692462652124775,127.63200603107315
284,나진3,4.61E+18,작은장재도,고시,간조시 장재도와 연결,258075.12,233173.17,0,,,POINT (258075.11968358653 233173.16791805823),34.69257949327339,127.63380763443871
285,용주1,4.61E+18,죽도,고시,섬에 대나무가 많다 하,257635.1,234436.16,0,,,POINT (257635.10346144647 234436.15509267693),34.70398863253002,127.62909184768148
286,이천1,4.61E+18,자래섬,고시,섬모양이 자라와 같다,251349.08,238227.04,0,,,POINT (251349.08000761186 238227.04404929694),34.73849382109568,127.56071315030138
287,이천2,4.61E+18,소운두도,고시,섬이 구름위에 떠있는,251665.08,237856.05,0,,,POINT (251665.08380029406 237856.05056220386),34.73513386278352,127.56414087909553
288,이천4,4.61E+18,오도,고시,,253273.07,238580.07,0,,,POINT (253273.06506420055 238580.0702738281),34.74157742142948,127.58174377953424
289,이천5,4.61E+18,대운두도,고시,섬이 구름위에 떠있는,251484.07,238858.04,1,,,POINT (251484.0701284649 238858.0427635993),34.74417472404695,127.56222565890795
290,이목1,4.61E+18,대락도,고시,이 섬의 크기가 소락도,250471.21,229328.08,0,,,POINT (250471.21375236055 229328.07680823992),34.658323551711625,127.55059595530768
291,이목2,4.61E+18,소락도,고시,섬의 위치가 마을 전면,250941.22,229050.08,0,,,POINT (250941.21542275185 229050.08503451204),34.65579442122172,127.55570640696864
292,안포1,4.61E+18,목도,고시,섬의 모양이 나비와 같,258352.18,229270.19,0,,,POINT (258352.1752003486 229270.19164757908),34.65738321032321,127.63656195441186
293,안포2,4.61E+18,돌섬,고시,간조시 윗쪽에 있는 목,258653.18,229005.2,0,,,POINT (258653.1775644761 229005.19736462977),34.654977461936284,127.63982701600035
294,안포3,4.61E+18,삼도첫섬,고시,간조시 3개의 섬이 연,259542.2,226937.22,0,,,POINT (259542.20327896212 226937.22067653603),34.63628587258453,127.64937912672542
295,안포4,4.61E+18,애기삼섬,고시,간조시 3개의 섬이 연,259437.2,226916.22,0,,,POINT (259437.20410397885 226916.21925222687),34.63610267452845,127.64823256788029
296,안포5,4.61E+18,삼도,고시,섬 세 개가 나란히 있,259326.21,226763.22,0,,,POINT (259326.206880618 226763.21840047237),34.634729990676654,127.64701145029646
297,안포6,4.61E+18,삼도끝섬,고시,간조시 3개의 섬이 연,259233.21,226521.22,0,,,POINT (259233.21086350488 226521.21825563203),34.63255402628126,127.64598033861769
298,유송1,4.61E+18,문서,고시,옛날 전설에 의하면 한,271256.28,217465.44,0,,,POINT (271256.2844362479 217465.43813136837),34.55016386446497,127.77633105610897
299,유송2,4.61E+18,작은가릿여,고시,대유마을 동북쪽에 있,270644.29,217065.43,0,,,POINT (270644.29320567695 217065.43112836615),34.54660050823337,127.7696308134732
300,유송6,4.61E+18,물목섬,고시,유송리 소유마을 동쪽,270688.32,215354.44,0,,,POINT (270688.31796411134 215354.4400353612),34.5311751299351,127.76996843729435
301,유송7,4.61E+18,형제도,고시,섬이 두 개가 나란히 ,270906.32,215320.44,0,,,POINT (270906.3174205171 215320.4433801775),34.5308536712146,127.77233996972046
302,유송8,4.61E+18,후서,고시,섬이 형제도 뒤에 있다,271887.31,215402.46,0,,,POINT (271887.31154911936 215402.45730447245),34.53152493724929,127.78303135063729
303,유송9,4.61E+18,수항도,고시,이 섬에 물이 부족하여,270925.31,215941.44,1,,,POINT (270925.30826853245 215941.44066202274),34.5364498734739,127.77259850532124
304,안도1,4.61E+18,배다서,고시,이 섬은 항상 물위에 ,274260.3,215411.49,0,,,POINT (274260.3001342301 215411.49193558987),34.531437882601764,127.80887765460658
305,안도2,4.61E+18,작은배대기여,현지,외삼도 북쪽에 위치하,274228.3,215220.49,0,,,POINT (274228.3030784117 215220.49238437356),34.529718587058795,127.80851248539591
306,안도3,4.61E+18,외삼도,고시,섬이 세 개가 나란히 ,274425.32,213690.5,0,,,POINT (274425.3245052105 213690.5025944012),34.51591358732672,127.81052468112794
307,안도4,4.61E+18,구몽여,고시,안도의 외삼섬과 중삼,274216.33,213402.5,0,,,POINT (274216.32970113435 213402.5009181446),34.513332734410255,127.80822381926214
308,안도5,4.61E+18,중삼도,고시,섬이 세 개가 나란히 ,274038.33,213218.5,0,,,POINT (274038.33323036437 213218.49919782393),34.511687029474736,127.80626957386819
309,안도6,4.61E+18,초삼도,고시,섬이 세 개가 나란히 ,274020.35,212135.5,0,,,POINT (274020.3491277223 212135.5041085204),34.50192651544968,127.80597980801957
310,안도10,4.61E+18,대부도,고시,섬의 모양이 가마솥처,272723.39,209515.5,1,,,POINT (272723.3934458104 209515.49767462228),34.47840288948613,127.79163570106034
311,안도13,4.61E+18,안도,고시,유래는 리 유래와 동일,274454.37,210382.52,1,연도교,,POINT (274454.3726654318 210382.51879261195),34.48609444930252,127.81055235375275
312,연도1,4.61E+18,큰여,수치,,274040.41,207793.52,0,,,POINT (274040.4123535363 207793.52503619523),34.46278773661295,127.80582176972204
313,연도2,4.61E+18,검등여,고시,,272923.42,207524.51,0,,,POINT (272923.42150179535 207524.51003977534),34.46044247330159,127.79364305348955
314,연도3,4.61E+18,납작도,고시,연도 역포마을 서쪽에,272978.43,207207.51,0,,,POINT (272978.4258586874 207207.51234190562),34.45758122078343,127.79421463153439
315,연도4,4.61E+18,작은알마도,고시,역포마을 서쪽에 있는,271836.44,206686.5,0,,,POINT (271836.4387871245 206686.49819115608),34.45296504593804,127.78174376550538
316,두라1,4.61E+18,나발도,고시,옛날 어떤 풍수가 이 ,267906.27,219852.38,1,,,POINT (267906.26568964974 219852.37761672633),34.57190569699678,127.7400262778204
317,두라2,4.61E+18,소두리도,고시,옛날 풍수가 말하기를,268668.27,219170.39,1,,,POINT (268668.271967461 219170.39206344518),34.56570781742724,127.74827467719054
318,두라3,4.61E+18,대두리도,고시,옛날 풍수가 말하기를,267176.28,219092.37,1,,,POINT (267176.28029849194 219092.37067568424),34.565103134654336,127.73201156008017
319,화태2,4.61E+18,화태도,고시,리 유래와 같음.,267139.25,221314.36,1,,,POINT (267139.24806450086 221314.3592730139),34.585133966426454,127.73178356769947
320,횡간1,4.61E+18,큰여,고시,횡간도와 화태도 사이,268977.24,220929.39,0,,,POINT (268977.2447934918 220929.38799789775),34.581542213685516,127.75178396814647
321,횡간3,4.61E+18,몽여,고시,횡간도 남동쪽에 위치,270192.25,220277.41,0,,,POINT (270192.24845939275 220277.40893370932),34.57558320838925,127.76497150351788
322,횡간7,4.61E+18,소횡간도,고시,대횡간도와 유래는 상,270404.27,219078.42,1,,,POINT (270404.26495924767 219078.41786379548),34.56476141562611,127.76718268903431
323,횡간8,4.61E+18,대횡간도,고시,임란시 왜병들이 활을,269715.25,220466.4,1,,,POINT (269715.2479962714 220466.40104103537),34.57731916916626,127.7597889513322
324,백야1,4.61E+18,백야도,고시,산봉우리가 岩石이 많,258467.24,224604.22,1,연륙교,,POINT (258467.2425327936 224604.21667668992),34.615318463073216,127.6374951853934
325,월호1,4.61E+18,자봉도,고시,자봉리의 마을명을 따,262917.26,222062.29,1,,,POINT (262917.2576902228 222062.29403793794),34.59214289420729,127.68582443431522
326,월호3,4.61E+18,단도,고시,지방민들이 딴섬이라 ,263624.26,221883.31,0,,,POINT (263624.2568495367 221883.30521880073),34.59048605554854,127.69351712748069
327,월호4,4.61E+18,딴여,고시,화정면 월호도와 남면,266715.26,220753.36,0,,,POINT (266715.25830389926 220753.35583315027),34.580104887004524,127.72711857935131
328,월호5,4.61E+18,월호도,고시,리명을 따서 월호도라,265895.27,220012.35,1,,,POINT (265895.2730793234 220012.3475026443),34.57347851825615,127.71812482362617
329,개도1,4.61E+18,육고여,고시,,258617.33,218607.25,0,,,POINT (258617.32886943893 218607.2485809704),34.56125391245813,127.63871780871906
330,개도3,4.61E+18,납덕고여,고시,모전마을 육고여 끝에,258735.34,218089.25,0,,,POINT (258735.3358050924 218089.2528442489),34.55657796525632,127.6399678601463
331,개도5,4.61E+18,고여,고시,개도리 호령마을 남쪽,259439.35,216788.27,0,,,POINT (259448.1131101034 216784.49389892304),34.544810583242885,127.64754731716977
332,개도6,4.61E+18,아랫고여,고시,개도리 호령마을 남쪽,256534.37,216656.23,0,,,POINT (259541.07656833576 216654.98871276772),34.5437840972002,127.61589261833463
333,개도7,4.61E+18,야도,고시,섬 모양이 불 모양같이,262458.28,220587.29,0,,,POINT (262458.2813954732 220587.29462445225),34.57887553590062,127.68071324600425
334,개도8,4.61E+18,단도1,고시,지방민들이 딴섬이라 ,262454.31,218851.3,0,,,POINT (262454.3066600262 218851.3030981497),34.56322785298053,127.68054246683148
335,개도9,4.61E+18,바깥딴섬,고시,화정 개도 월항 정목리,262528.31,218755.3,0,,,POINT (262528.3076964078 218755.30464504176),34.56235802640062,127.68134171126437
336,개도10,4.61E+18,도막여,현지,화정면 제도리 남쪽에,263143.31,218511.31,0,,,POINT (263143.3082614591 218511.31478396995),34.56012115796235,127.68802454275155
337,제도3,4.61E+18,제도,고시,리명을 따서 제리도라,259616.27,222443.24,1,,,POINT (259854.11257716702 222525.57870405092),34.595773630260005,127.64987110588254
338,상화2,4.61E+18,상화도,고시,리명을 따라 상화도라,255078.29,222813.18,1,,,POINT (255078.28525296962 222813.1764020275),34.59936165899628,127.60042952607185
339,하화1,4.61E+18,부도,고시,가마솥(釜)과 같이 생,253414.33,220320.16,0,,,POINT (253414.32955805116 220320.16472785163),34.5769775367267,127.58213415339773
340,하화2,4.61E+18,소부도,고시,가마솥과 같이 생긴 섬,253727.32,220692.17,0,,,POINT (253727.3226343132 220692.1674047975),34.5803145144397,127.58556862277982
341,하화4,4.61E+18,장구도,고시,섬의 모양이 장구를 닮,255364.3,221725.19,0,,,POINT (255364.29961213458 221725.18597078545),34.58953920647875,127.6034763519078
342,하화5,4.61E+18,하화도,고시,리명을 따라서 하화도,256640.29,222028.2,1,,,POINT (256640.28893835092 222028.20296614373),34.59220094616338,127.61740426874333
343,하화6,4.61E+18,문여,고시,하화리 서쪽끝과 별도,255597.3,221658.19,0,,,POINT (255597.29943585346 221658.18968157884),34.58892268766303,127.60601156472629
344,낭도1,4.61E+18,납대도,고시,,248543.31,223055.08,0,,,POINT (248543.31415678014 223055.08062688168),34.60187190164079,127.52920590416029
345,낭도2,4.61E+18,대해도,고시,섬의 모양이 게와 같이,249062.32,222583.09,0,,,POINT (249062.31838943833 222583.09049698943),34.59759269709986,127.53483651872217
346,낭도3,4.61E+18,목도,고시,섬에 나무가 많아 나무,249286.33,221879.1,0,,,POINT (249286.3274418068 221879.0972681609),34.59123617646508,127.53723753924814
347,낭도4,4.61E+18,소해도,고시,바닷가에 살고 있는 게,249406.33,221862.1,0,,,POINT (249406.32709145534 221862.09908642288),34.59107717249989,127.53854453971483
348,낭도5,4.61E+18,문도,고시,섬의 모양이 문자형으,250496.34,220493.12,0,,,POINT (250496.3414585717 220493.12168496964),34.57868413106195,127.55034415339499
